company,jada_label,technology_models,segment,note
toyota,Corolla,Corolla;Corolla Touring;Corolla Sport;Corolla Cross;Corolla Axio;Corolla Fielder;GR Corolla,passenger_car,"the JADA ranking sums every variant of one nameplate (its own note: the same model name added up, imports included), so the certified value pools the whole Corolla family"
toyota,Yaris,Yaris;Yaris Cross;GR Yaris,passenger_car,Yaris family including the Cross and the GR
toyota,Sienta,Sienta,passenger_car,
toyota,Prius,Prius,passenger_car,"hybrid only; the plug-in grades are certified in hybrid mode and the workbook does not separate them, so they sit inside the HEV mean"
toyota,Alphard,Alphard,passenger_car,"the workbook writes Alphard and Vellfire in one block; the reader splits it, so both nameplates carry the same grades"
toyota,Vellfire,Vellfire,passenger_car,see Alphard
toyota,Voxy,Voxy,passenger_car,the workbook writes Voxy and Noah in one block; the reader splits it
toyota,Noah,Noah,passenger_car,see Voxy
toyota,Roomy,Roomy,passenger_car,built by Daihatsu and marked as an OEM model in the workbook; the Toyota-badged rows are used
toyota,Harrier,Harrier,passenger_car,
toyota,Aqua,Aqua,passenger_car,hybrid only
toyota,Crown,Crown,passenger_car,
toyota,Land Cruiser,Land Cruiser,passenger_car,petrol and diesel grades pooled as ICE
toyota,Raize,Raize,passenger_car,built by Daihatsu and marked as an OEM model in the workbook
toyota,RAV4,RAV4,passenger_car,
toyota,86,86;GR86,passenger_car,built by SUBARU and marked as an OEM model in the workbook
toyota,HiAce Wagon,HiAce,passenger_car,"the ranking counts the passenger wagon variant; the workbook lists the nameplate without it"
toyota,JPN Taxi,,passenger_car,"out of scope of the technology tables read: an LPG hybrid, certified in the LPG passenger-car workbook, which this build does not read"
nissan,Note,Note;Note Aura,passenger_car,"the ranking sums Note and Note Aura under one nameplate; both are e-POWER hybrids"
nissan,Serena,Serena,passenger_car,
nissan,X-Trail,X-Trail,passenger_car,e-POWER only in these years
nissan,Kicks,,passenger_car,"withdrawn from the Japanese line-up before either fuel-economy edition on hand (March 2025 and March 2026), so no certified value exists to compute a result with"
