table,dataset,kind,layer,description,grain,rows,columns,data_year_min,data_year_max,tier_a,tier_b,tier_c,tier_c_share,source_path,licences,raw_redistribution,health,health_reason
cohorts,model,output,result,"The market-neutral cohort table: sales joined to certified product values, one row per market x company x destination x model x powertrain x sale year.",market;company;destination;segment;cohort_year;model;powertrain,2490,20,2024,2026,2265,169,56,0.0225,data/auto/output/cohorts.csv,,,ok,"rows present, nothing flagged"
cohorts_withheld,model,output,result,"Volumes that cannot enter a result, with the reason each was held back.",market;company;destination;segment;cohort_year;model;powertrain,102,10,2024,2026,0,0,0,,data/auto/output/cohorts_withheld.csv,,,ok,"rows present, nothing flagged"
companies,sales,method,input,"The exporters in scope, and the brands held apart from them.",company;country,11,4,,,0,0,0,,data/auto/sales/method/companies.csv,,,ok,"rows present, nothing flagged"
company_us_totals_cross_check,sales,raw,input,,company;destination;cohort_year,5,10,2024,2025,0,0,0,,data/auto/sales/raw/company_us_totals_cross_check.csv,,,ok,"rows present, nothing flagged"
country_codes,dashboard,method,input,ISO country codes and names for the map.,,249,4,,,0,0,0,,data/auto/dashboard/method/country_codes.csv,,,ok,"rows present, nothing flagged"
country_emissions_au,country_emissions,processed,processed,The national inventory series the benchmark level is built from.,country;series;year;source_id,140,9,1990,2024,140,0,0,0.0,data/auto/country_emissions/processed/country_emissions_au.csv,cc_by_4_0,open,ok,"rows present, nothing flagged"
country_emissions_eu27,country_emissions,processed,processed,The national inventory series the benchmark level is built from.,country;series;year;source_id,1312,9,1990,2025,1312,0,0,0.0,data/auto/country_emissions/processed/country_emissions_eu27.csv,cc_by_4_0;eurostat_reuse,open,ok,"rows present, nothing flagged"
country_emissions_jp,country_emissions,processed,processed,The national inventory series the benchmark level is built from.,country;series;year;source_id,140,9,1990,2024,140,0,0,0.0,data/auto/country_emissions/processed/country_emissions_jp.csv,jp_gov_publication,open,ok,"rows present, nothing flagged"
country_emissions_kr,country_emissions,processed,processed,The national inventory series the benchmark level is built from.,country;series;year;source_id,186,9,1990,2024,34,0,152,0.8172,data/auto/country_emissions/processed/country_emissions_kr.csv,kr_public_data,open,watch,tier C on 82% of rows
country_emissions_owid_grid,country_emissions,processed,processed,The national inventory series the benchmark level is built from.,country;series;year;source_id,104,9,2000,2025,104,0,0,0.0,data/auto/country_emissions/processed/country_emissions_owid_grid.csv,cc_by_4_0,open,ok,"rows present, nothing flagged"
country_emissions_us,country_emissions,processed,processed,The national inventory series the benchmark level is built from.,country;series;year;source_id,62,9,1990,2023,62,0,0,0.0,data/auto/country_emissions/processed/country_emissions_us.csv,us_public_domain,open,ok,"rows present, nothing flagged"
data_providers,auto,registry,catalogue,"The organisations that publish the sources, each pointing at one licence.",provider_id;licence_id,31,5,,,0,0,0,,data/auto/registry/data_providers.csv,,,ok,"rows present, nothing flagged"
data_readiness,model,output,result,"What each sale year actually received, parameter by parameter: the year the value was observed, its lag, and whether it was carried forward.",cohort_year;market;country;dataset;parameter;source_id,530,12,2024,2026,196,120,79,0.1491,data/auto/output/data_readiness.csv,airia_terms;cc_by_4_0;eurostat_reuse;jp_estat_terms;jp_gov_publication;kr_public_data;us_public_domain,open,ok,"rows present, nothing flagged"
destination_notes,sales,method,input,,destination,2,4,,,0,0,0,,data/auto/sales/method/destination_notes.csv,airia_terms;jada_terms;jp_estat_terms;jp_gov_publication;mlit_terms,derived_only;open,ok,"rows present, nothing flagged"
