licence_id,licence_name,url,category,raw_redistribution,attribution,summary,verified_date
cc_by_4_0,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,open,open,yes,"Copy and redistribute in any medium, including commercially, with attribution.",2026-09-14
eurostat_reuse,European Commission reuse (Decision 2011/833/EU),https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy,open,open,yes,"Reproduction and dissemination, commercial or not, authorised provided Eurostat is acknowledged; editorial content under CC BY 4.0.",2026-09-14
eur_lex_reuse,European Union reuse of Commission documents (2011/833/EU),https://eur-lex.europa.eu/content/legal-notice/legal-notice.html,open,open,yes,Reuse of EU legal texts authorised with the source acknowledged; EU logos excepted.,2026-09-14
us_public_domain,"US Government work, public domain (17 U.S.C. 105)",https://www.usa.gov/government-works,public_domain,open,cite,"A work of the US federal government carries no domestic copyright; free to reuse, the source is cited by convention rather than by licence.",2026-09-14
kogl_type_1,"Korea Open Government Licence, Type 1",https://www.kogl.or.kr/info/licenseTypeEn.do,open,open,yes,"Use including commercial use and redistribution, with the source attributed.",2026-09-14
kr_public_data,"data.go.kr public data (no use restriction, KOGL Type 1 equivalent)",https://www.data.go.kr,open,open,yes,"Public data released with no restriction on use; treated as KOGL Type 1, attribute.",2026-09-14
unfccc_public_domain,"UNFCCC terms of use (official texts, public domain)",https://unfccc.int/this-site/terms-of-use,public_domain,open,yes,"Official UNFCCC texts, data and documents may be freely downloaded, copied and printed with no change to the content and the source acknowledged; other use needs authorisation.",2026-09-14
un_comtrade,UN Comtrade data use policy,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/,conditional,derived_only,yes,"Transformed (derived) data is free of restriction to redistribute; re-dissemination of original data above 100,000 records requires a licence fee, so only our aggregates ship.",2026-09-14
odbl_1_0,Open Data Commons Open Database License 1.0,https://opendatacommons.org/licenses/odbl/1-0/,open_sharealike,open,yes,"Share, create and adapt with attribution and share-alike on the database.",2026-09-14
isc,ISC License,https://opensource.org/license/isc-license-txt,open,open,yes,Permissive reuse and redistribution with the copyright notice retained; the underlying Natural Earth geometry is itself public domain.,2026-09-14
publisher_attribution,Publisher permits reproduction with attribution,,attribution,open,yes,The publisher's own terms permit reproduction of the figures with attribution (IRENA publications; ifeu / Oeko-Institut report).,2026-09-14
jp_estat_terms,e-Stat / Japanese government standard terms of use,https://www.e-stat.go.jp/en/terms-of-use,open,open,yes,"Free use including reproduction and redistribution, commercial included, with the source shown (the Japanese government standard terms, compatible with CC BY 4.0).",2026-09-14
mlit_terms,MLIT website terms of use,https://www.mlit.go.jp/link.html,open,open,yes,"Free use with the source shown, following the Japanese government standard terms.",2026-09-14
jada_terms,JADA new-vehicle registration statistics,https://www.jada.or.jp/data/,conditional,derived_only,yes,"Current monthly tables are free to download; the back series is licensable, so only the extracted nameplate figures ship, not the source workbook.",2026-09-14
airia_terms,"AIRIA statistics, attribution required",https://www.airia.or.jp/publish/,attribution,open,yes,Free to use with the AIRIA source line shown.,2026-09-14
jp_gov_publication,Japanese government publication (GIO / NIES inventory),https://www.nies.go.jp/gio/en/,attribution,open,yes,National inventory published for public use; reproduce with the source acknowledged.,2026-09-14
kr_gov_publication,"Korean government publication, attribution",https://www.2050cnc.go.kr,attribution,open,yes,Government strategy and scenario documents published for public use; attribute the source.,2026-09-14
company_ir,"Company investor-relations / press material, no explicit reuse licence",,restricted,no,cite,"The reported figures are facts this project may state and analyse, but the source workbook or press table carries no reuse licence and is not republished; it stays local.",2026-09-14
