test_cycle,powertrain,factor,factor_low,factor_high,derivation,source_id
WLTP,ICE,1.191,1.171,1.211,midpoint of the EEA OBFCM real-world gap for petrol (+21.1%) and diesel (+17.1%) model-year 2022 cars; ICE registrations pool both fuels; range = diesel end to petrol end,eea_obfcm_real_world_2022
WLTP,HEV,1.211,1.171,1.211,EEA OBFCM real-world gap for petrol cars (+21.1%); the Korean brand hybrids in the EU27 cohorts are petrol hybrids; no hybrid-specific gap is published so the combustion range (1.171-1.211) is carried as the band,eea_obfcm_real_world_2022
WLTP,BEV,1.0,1.0,1.0,no official real-world gap is published for battery-electric energy consumption; certified value passed through at both ends (optimistic; a one-sided bias in the only positive powertrain),eea_obfcm_real_world_2022
EPA,ICE,1.0,1.0,1.0,EPA label (5-cycle adjusted) values already approximate real-world use; no further correction; no published band,epa_fuel_economy_label
EPA,HEV,1.0,1.0,1.0,EPA label (5-cycle adjusted) values already approximate real-world use; no further correction; no published band,epa_fuel_economy_label
EPA,BEV,1.0,1.0,1.0,EPA label (5-cycle adjusted) values already approximate real-world use; no further correction; no published band,epa_fuel_economy_label
KR_5CYCLE,ICE,1.0,1.0,1.0,Korean label values are 5-cycle corrected toward real-world driving (Korea adopted the US 5-cycle method in 2012); like the EPA label they are passed through at both ends,kea_fuel_economy_labels
KR_5CYCLE,HEV,1.0,1.0,1.0,as KR_5CYCLE ICE,kea_fuel_economy_labels
KR_5CYCLE,BEV,1.0,1.0,1.0,as KR_5CYCLE ICE; certified electric efficiency passed through,kea_fuel_economy_labels
WLTC_JP,ICE,1.191,1.171,1.211,"Japan publishes no official real-world fuel-economy gap, so the EEA OBFCM gap measured for the same WLTP/WLTC test procedure is carried across: midpoint of petrol (+21.1%) and diesel (+17.1%) for model-year 2022 cars. Japan's WLTC omits the Extra-High phase, so the true Japanese gap is likely larger than the European one and this factor understates real-world emissions, which flatters the company; the band is the diesel-to-petrol range, not a Japanese measurement",eea_obfcm_real_world_2022
WLTC_JP,HEV,1.211,1.171,1.211,"as WLTC_JP ICE, taking the petrol end because Japanese hybrids are petrol hybrids; no hybrid-specific gap is published for either market",eea_obfcm_real_world_2022
WLTC_JP,BEV,1.0,1.0,1.0,"no battery-electric grade is assessed in Japan (the MLIT fuel-economy list is a fuel-consumption publication and carries no electricity-consumption rating), so this row exists only so the join is total",eea_obfcm_real_world_2022
WLTP,FCEV,1.0,1.0,1.0,"no official real-world gap is published for hydrogen consumption; certified value passed through at both ends, as for battery-electric",eea_obfcm_real_world_2022
EPA,FCEV,1.0,1.0,1.0,EPA label (5-cycle adjusted) values already approximate real-world use; no further correction; no published band,epa_fuel_economy_label
KR_5CYCLE,FCEV,1.0,1.0,1.0,as KR_5CYCLE BEV; the certified hydrogen consumption is passed through,kea_fuel_economy_labels
WLTC_JP,FCEV,1.0,1.0,1.0,"no fuel-cell grade is assessed in Japan (the MLIT fuel-economy list carries no hydrogen-consumption rating), so this row exists only so the join is total",eea_obfcm_real_world_2022
WLTP,PHEV,1.211,1.171,1.211,"the petrol gap, because a plug-in hybrid burns petrol when it is not on the battery. It is applied to the certified tailpipe only, and the certified tailpipe is weighted by the type-approval utility factor: ifeu/Oeko-Institut (2025) Table 1 finds the average real-world fuel consumption of PHEVs registered under the rules in force to 2024 runs over 300% above type approval, so this leg is a floor and the direction of the error is known",ifeu_phev_2025
EPA,PHEV,1.0,1.0,1.0,"EPA label (5-cycle adjusted) values pass through as for every EPA row; the EPA combined value is weighted by the label utility factor (combinedUF), which the European real-world evidence suggests overstates electric driving, so this leg is a floor",epa_fuel_economy_label
KR_5CYCLE,PHEV,1.0,1.0,1.0,"as KR_5CYCLE BEV; no Korean cohort carries a plug-in hybrid, so this row exists only so the join is total",kea_fuel_economy_labels
WLTC_JP,PHEV,1.211,1.171,1.211,"as WLTC_JP HEV; no Japanese cohort carries a plug-in hybrid, so this row exists only so the join is total",eea_obfcm_real_world_2022
