make,carline_name,base_model,note
GENESIS,G70 AWD,G70,
GENESIS,G70 RWD,G70,
GENESIS,Electrified G80,G80,
GENESIS,G80 AWD,G80,
GENESIS,G90 AWD,G90,
GENESIS,G90 MHEV,G90,
GENESIS,GV60 Advanced (19'' Wheels),GV60,
GENESIS,GV60 Advanced (20'' Wheels),GV60,
GENESIS,GV60 Performance,GV60,
GENESIS,GV60 Standard,GV60,
GENESIS,Electrified GV70,GV70,
GENESIS,GV70 AWD,GV70,
GENESIS,GV80 AWD,GV80,
HYUNDAI,Elantra,Elantra,
HYUNDAI,Elantra Hybrid,Elantra,
HYUNDAI,Elantra Hybrid Blue,Elantra,
HYUNDAI,Elantra N,Elantra,
HYUNDAI,Ioniq 5 Long range AWD,IONIQ 5,
HYUNDAI,Ioniq 5 Long range RWD,IONIQ 5,
HYUNDAI,Ioniq 5 Robo taxi,IONIQ 5 Robo Taxi,"kept apart from IONIQ 5 (fleet vehicle, 16 units in the sales file)"
HYUNDAI,Ioniq 6 Long range AWD (18'' Wheels),IONIQ 6,
HYUNDAI,Ioniq 6 Long range AWD (20'' Wheels),IONIQ 6,
HYUNDAI,Ioniq 6 Long range RWD (18'' Wheels),IONIQ 6,
HYUNDAI,Ioniq 6 Long range RWD (20'' Wheels),IONIQ 6,
HYUNDAI,Ioniq 5 Standard range RWD,IONIQ 5,
HYUNDAI,Ioniq 6 Standard Range RWD,IONIQ 6,
HYUNDAI,Kona AWD,Kona,
HYUNDAI,Kona Electric Long Range,Kona,
HYUNDAI,Kona FWD,Kona,
HYUNDAI,Kona Electric Standard Range,Kona,
HYUNDAI,Palisade AWD,Palisade,
HYUNDAI,Palisade FWD,Palisade,
HYUNDAI,Santa Cruz AWD,Santa Cruz(Tucson O/B),
HYUNDAI,Santa Cruz FWD,Santa Cruz(Tucson O/B),
HYUNDAI,Santa Fe AWD,Santa Fe,
HYUNDAI,Santa Fe AWD XRT,Santa Fe,
HYUNDAI,Santa Fe FWD,Santa Fe,
HYUNDAI,Santa Fe Hybrid AWD,Santa Fe,
HYUNDAI,Santa Fe Hybrid FWD,Santa Fe,
HYUNDAI,Sonata AWD,Sonata,
HYUNDAI,Sonata FWD,Sonata,
HYUNDAI,Sonata Hybrid,Sonata,
HYUNDAI,Tucson AWD,Tucson,
HYUNDAI,Tucson FWD,Tucson,
HYUNDAI,Tucson Hybrid,Tucson,
HYUNDAI,Tucson Hybrid Blue,Tucson,
HYUNDAI,Tucson Plug-in Hybrid,Tucson,
HYUNDAI,Venue,Venue,
KIA,Carnival,Carnival,
KIA,EV6 AWD GT,EV6,
KIA,EV6 Long Range AWD (19'' Wheels),EV6,
KIA,EV6 Long Range AWD (20'' Wheels),EV6,
KIA,EV6 Long Range RWD,EV6,
KIA,EV6 Standard Range RWD,EV6,
KIA,EV9 Long Range AWD,EV9,
KIA,EV9 Long Range RWD,EV9,
KIA,EV9 Long Range AWD GT-Line,EV9,
KIA,EV9 Standard Range RWD,EV9,
KIA,Forte,K4/Forte,
KIA,Forte FE,K4/Forte,
KIA,K5,K5,
KIA,K5 AWD,K5,
KIA,Niro,Niro,
KIA,Niro Electric,Niro,
KIA,Niro FE,Niro,
KIA,Niro Plug-in Hybrid,Niro,
KIA,Seltos AWD,Seltos,
KIA,Seltos FWD,Seltos,
KIA,Sorento AWD,Sorento,
KIA,Sorento FWD,Sorento,
KIA,Sorento Hybrid AWD,Sorento,
KIA,Sorento Hybrid FWD,Sorento,
KIA,Sorento Plug-in Hybrid,Sorento,
KIA,Soul,Soul,
KIA,Soul Eco dynamics,Soul,
KIA,Sportage AWD,Sportage,
KIA,Sportage FWD,Sportage,
KIA,Sportage Hybrid AWD,Sportage,
KIA,Sportage Hybrid FWD,Sportage,
KIA,Sportage Plug-in Hybrid,Sportage,
KIA,Sportage X-pro,Sportage,
KIA,Telluride AWD,Telluride,
KIA,Telluride FWD,Telluride,
