country,iso3,fuel_type,year,capacity_gw,generation_twh,capacity_factor,cf_low,cf_high,years_used,proxy_fuel,source_id,note
AW,ABW,oil,2024,0.24,0.83,0.3948,0.36,0.4307,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AF,AFG,hydro,2024,0.47,0.75,0.1822,0.1797,0.3229,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AF,AFG,oil,2024,0.24,0.1,0.0476,0.0476,0.0815,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AF,AFG,solar,2024,0.06,0.11,0.2093,0.1598,0.2093,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AO,AGO,bioenergy,2024,0.05,0.05,0.1142,0.1142,0.1142,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AO,AGO,gas,2024,0.72,1.4,0.222,0.2204,0.2648,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AO,AGO,hydro,2024,3.73,11.0,0.3367,0.3367,0.3868,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AO,AGO,oil,2024,1.64,2.7,0.1879,0.1705,0.1879,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AO,AGO,solar,2024,0.36,0.44,0.1395,0.1395,0.1535,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AE,ARE,coal,2021,1.2,3.01,0.2863,0.1389,0.2863,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AE,ARE,gas,2024,41.7,121.01,0.3313,0.3242,0.3969,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AE,ARE,nuclear,2024,5.56,40.63,0.8342,0.1339,0.9428,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AE,ARE,solar,2024,6.5,15.21,0.2671,0.2378,0.2767,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AE,ARE,wind,2024,0.11,0.2,0.2076,0.0685,0.2076,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,bioenergy,2025,0.43,2.95,0.7832,0.721,0.7901,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,coal,2025,0.65,1.34,0.2353,0.2301,0.5126,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,gas,2025,22.94,82.15,0.4088,0.3948,0.4838,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,hydro,2025,9.19,26.25,0.3261,0.2161,0.3682,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,nuclear,2025,1.75,10.76,0.7019,0.4873,0.7019,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,oil,2025,4.45,5.92,0.1519,0.1519,0.4266,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AR,ARG,solar,2025,2.59,5.14,0.2265,0.2265,0.3024,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AR,ARG,wind,2025,4.5,18.62,0.4723,0.4273,0.4883,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AM,ARM,gas,2025,1.83,3.31,0.2065,0.2065,0.242,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AM,ARM,hydro,2025,1.34,1.9,0.1619,0.1385,0.241,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AM,ARM,nuclear,2025,0.45,2.68,0.6799,0.4693,0.6799,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AM,ARM,solar,2025,0.71,0.73,0.1174,0.1174,0.2473,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AS,ASM,oil,2024,0.05,0.17,0.3881,0.3881,0.3881,3,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AU,AUS,bioenergy,2025,0.87,3.04,0.3989,0.3631,0.4383,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AU,AUS,coal,2025,22.63,122.32,0.617,0.6045,0.6367,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AU,AUS,gas,2025,25.21,47.05,0.2131,0.2131,0.232,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AU,AUS,hydro,2025,7.71,12.22,0.1809,0.1809,0.2467,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AU,AUS,oil,2025,2.14,6.36,0.3393,0.2419,0.3393,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AU,AUS,solar,2025,41.07,56.42,0.1568,0.1459,0.1675,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AU,AUS,wind,2025,16.35,39.29,0.2743,0.2402,0.2897,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AT,AUT,bioenergy,2025,0.96,4.66,0.5541,0.5312,0.5732,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AT,AUT,coal,2019,0.25,1.5,0.6849,0.3349,0.6849,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AT,AUT,gas,2025,4.99,8.8,0.2013,0.1716,0.2482,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AT,AUT,hydro,2025,15.75,37.93,0.2749,0.265,0.3435,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AT,AUT,oil,2025,0.54,3.27,0.6913,0.5816,0.6913,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
AT,AUT,solar,2025,10.3,10.31,0.1143,0.1044,0.1231,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AT,AUT,wind,2025,4.29,8.31,0.2211,0.2211,0.2551,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AZ,AZE,gas,2025,7.14,24.64,0.3939,0.3939,0.5341,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AZ,AZE,hydro,2025,1.44,2.53,0.2006,0.126,0.2429,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AZ,AZE,solar,2024,0.28,0.08,0.0326,0.0285,0.137,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
AZ,AZE,wind,2025,0.06,0.09,0.1712,0.1305,0.1712,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BI,BDI,hydro,2024,0.06,0.36,0.6849,0.4947,0.704,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BI,BDI,oil,2024,0.05,0.12,0.274,0.2055,0.274,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
