company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_id,source_file
kia,US,country,,2024,2024-01..2024-12,Carnival,,49726,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,EV6,BEV,21715,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,EV9,BEV,22017,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,K4/Forte,,139778,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,K5,,46311,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Niro,,30094,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Rio,,1917,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Seltos,,59958,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Sorento,,95154,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Soul,,52397,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Sportage,,161917,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2024,2024-01..2024-12,Telluride,,115504,brand_total_sales,kia_america_sales_by_month,kia_america_2024_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Carnival,,71917,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,EV6,BEV,12933,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,EV9,BEV,15051,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,K4/Forte,,140514,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,K5,,72751,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Niro,,31182,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Seltos,,56798,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Sorento,,94772,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Soul,,50133,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Sportage,,182823,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
kia,US,country,,2025,2025-01..2025-12,Telluride,,123281,brand_total_sales,kia_america_sales_by_month,kia_america_2025_sales_by_month.xlsx
