company,cohort_year,period,units,basis,brands_covered,derived,derivation,source_id,source_file
hyundai,2024,2024-01..2024-12,4165543,worldwide_sales_derived,hyundai;genesis,yes,"Korea domestic 686,966 plus shipments exported from Korea 1,175,437 plus overseas plant sales 2,303,140; the export leg is shipments rather than sales, so the total is approximate",hyundai_ir_sales_results,sales_hyundai_kr.csv;hyundai_2024_global_plant_sales.xlsx
hyundai,2025,2025-01..2025-12,4110382,worldwide_sales_derived,hyundai;genesis,yes,"Korea domestic 696,489 plus shipments exported from Korea 1,142,659 plus overseas plant sales 2,271,234; the export leg is shipments rather than sales, so the total is approximate",hyundai_ir_sales_results,sales_hyundai_kr.csv;hyundai_2025_global_plant_sales.xlsx
kia,2024,2024-01..2024-10,2507500,worldwide_retail,kia,yes,"every destination in the retail workbook summed, period 2024-01..2024-10; the workbook is the company's own every-market release, so the sum is its worldwide retail for that period",kia_ir_retail_sales,sales_kia_ir_2024.csv
kia,2025,2025-01..2025-12,3096598,worldwide_retail,kia,yes,"every destination in the retail workbook summed, period 2025-01..2025-12; the workbook is the company's own every-market release, so the sum is its worldwide retail for that period",kia_ir_retail_sales,sales_kia_ir_2025.csv
kia,2026,2026-01..2026-07,1904864,worldwide_retail,kia,yes,"every destination in the retail workbook summed, period 2026-01..2026-07; the workbook is the company's own every-market release, so the sum is its worldwide retail for that period",kia_ir_retail_sales,sales_kia_ir_2026.csv
nissan,2024,2024-01..2024-12,3348692,worldwide_sales,nissan;infiniti,no,"release row 'Global sales', column units_cy_prior",nissan_global_sales,nissan_global_sales_2025.csv
nissan,2025,2025-01..2025-12,3202137,worldwide_sales,nissan;infiniti,no,"release row 'Global sales', column units_cy",nissan_global_sales,nissan_global_sales_2025.csv
toyota,2016,2016-01..2016-12,9223727,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2016.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2017,2017-01..2017-12,9383780,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2017.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2018,2018-01..2018-12,9541748,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2018.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2019,2019-01..2019-12,9714253,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2019.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2020,2020-01..2020-12,8692168,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2020.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2021,2021-01..2021-12,9615157,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2021.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2022,2022-01..2022-12,9567184,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2022.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2023,2023-01..2023-12,10307395,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2023.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2024,2024-01..2024-12,10159336,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2024.0",toyota_global_sales,toyota_global_sales_202512.xlsx
toyota,2025,2025-01..2025-12,10536807,worldwide_sales,toyota;lexus,no,"sheet Sales, Toyota (incl. Lexus) block, row Worldwide sales, column 2025 Cumulative Total",toyota_global_sales,toyota_global_sales_202512.xlsx
