company_id,company_name,company_country,company_type,gem_unit_id,gem_location_id,plant_name,country,role,phase,share,share_basis,from_year,to_year,source_url,source_note,accessed_date
kepco,Korea Electric Power Corporation,KR,utility,,L100000104345,Nghi Son coal power station,VN,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Nghi Son II Coal-fired Power Project (1,200 MW) — “Awarded Nghi Son II Coal-fired Power Project (1,200 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000110670,,Vung Ang power station Phase 2 Unit 1,VN,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW) — “Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000110671,,Vung Ang power station Phase 2 Unit 2,VN,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW) — “Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000100538,,Banten Suralaya power station Unit 09 (Jawa 9),ID,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW) — “Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000113472,,Banten Suralaya power station Unit 10 (Jawa 10),ID,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW) — “Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000406382,,Norte II power station,MX,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Norte II Combined Cycle Power Plant (433 MW) — “Awarded Norte II Combined Cycle Power Plant (433 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,,L100000408240,Rabigh IPP power station,SA,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Rabigh Heavy Fuel Power Plant (1,204 MW) — “Awarded Rabigh Heavy Fuel Power Plant (1,204 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000404602,,Al Qatrana power plant,JO,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Al Qatrana Combined Cycle Power Plant (373 MW) — “Awarded Al Qatrana Combined Cycle Power Plant (373 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000411581,,IPP3 ICE power plant (Amman),JO,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Amman Diesel Thermal Power Plant (573 MW) — “Awarded Amman Diesel Thermal Power Plant (573 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,,L100000405594,Shuweihat S3 power plant,AE,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Shuweihat S3 Combined Cycle Power Plant (1,600 MW) — “Awarded Shuweihat S3 Combined Cycle Power Plant (1,600 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
