company_id,gem_location_id,plant_name,country,role,phase,share,share_basis,sentence,source_url,source_id
chugoku,L100000104310,Vung Ang power station,VN,equity_owner,operation,0.4,equity_share,"Debt financing from JBIC, KEXIM and Japanese commercial banks In October 2020, the board of KEPCO decided to invest US$189 million for the acquisition of a 40% stake in the proposed project alongside Mitsubishi’s Diamond Generating Asia and Chugoku Electric Power which have 40% and 20% stakes respectively.",https://www.gem.wiki/Vung_Ang_power_station,gem_wiki
daewoo_ec,L100000103053,Safi power station,MA,epc_contractor,construction,,contract_share,"In February 2018, it was reported that plant contractor Daewoo Engineering and Construction was expected to face losses of up to US$400 million in the US$1.8 billion project as the heating facilities of the plant broke during test operations under construction.",https://www.gem.wiki/Safi_power_station,gem_wiki
dl_enc,L100000100183,Cochrane power station,CL,equity_owner,operation,0.4,equity_share,"The ownership of the plant was distributed as such: *AES Andes S.A. (formerly AES Gener) 30% , *Toesca Infraestructura II 30% , *Daelim Group 40%.",https://www.gem.wiki/Cochrane_power_station,gem_wiki
dl_enc,L100000103197,Kamanga power station,PH,epc_contractor,construction,,contract_share,"In March 2013, Korean company Daelim Industrial took over the project as engineering, procurement, and construction (EPC) contractor; construction began shortly thereafter.",https://www.gem.wiki/Kamanga_power_station,gem_wiki
dl_enc,L100000103166,Pagbilao power station,PH,epc_contractor,construction,,contract_share,"In June 2014, the plant's owners announced that Japan's Mitsubishi Hitachi Power Systems and Korea's Daelim Industrial would be constructing the plant.",https://www.gem.wiki/Pagbilao_power_station,gem_wiki
doosan_enerbility,L100000104335,Mong Duong power station,VN,epc_contractor,construction,,contract_share,"In Dec. 2010, with all necessary permits in hand, AES hired Korea's Dooson Heavy Industries, a subsidiary of the Doosan Group, to build the plant, with completion scheduled for 2015.",https://www.gem.wiki/Mong_Duong_power_station,gem_wiki
doosan_enerbility,L100000405444,O Mon Power Complex,VN,epc_contractor,construction,,contract_share,"In June 2025, South Korea's Doosan Enerbility and Vietnam's Power Engineering Consulting Joint Stock Company 2 (PECC2) signed, as a consortium, an engineering, procurement, and construction contract for O Mon 4.",https://www.gem.wiki/O_Mon_Power_Complex,gem_wiki
doosan_enerbility,L100000405444,O Mon Power Complex,VN,equipment_supplier,construction,,scope_share,"Doosan announced that the contract was worth approximately 900 billion won (about US$770 million), with the consortium responsible for main plant equipment supply, construction, and overall commissioning.",https://www.gem.wiki/O_Mon_Power_Complex,gem_wiki
doosan_enerbility,L100000104310,Vung Ang power station,VN,epc_contractor,construction,,contract_share,"KEPCO's participation is subject to official approval from the Vietnamese government and would see Samsung C&T and Doosan Heavy Industries joining the project as the engineering, procurement and construction contractors.",https://www.gem.wiki/Vung_Ang_power_station,gem_wiki
ewp,L100000102785,Tabalong power station,ID,equity_owner,operation,,equity_share,"Tanjung Power, the project's developer, is a joint venture between Adaro Indonesia and Korea East-West Power (a subsidiary of Korea Electric Power Corporation, or KEPCO).",https://www.gem.wiki/Tabalong_power_station,gem_wiki
gs_enc,L100000103058,ACWA Moatize power station,MZ,epc_contractor,construction,,contract_share,"The sponsors selected international contractor GS Engineering & Construction from Korea for the engineering, procurement and construction of the project, and ACWA Power’s wholly owned subsidiary NOMAC was going to be responsible for the operation and maintenance of the plant.",https://www.gem.wiki/ACWA_Moatize_power_station,gem_wiki
ihi,L100000103015,Jimah East power station,MY,equipment_supplier,construction,,scope_share,The project would use IHI ultra-supercritical technology steam generator and two units of Toshiba turbo generator.,https://www.gem.wiki/Jimah_East_power_station,gem_wiki
itochu,L100000102709,Central Java Power Project,ID,equity_owner,operation,,equity_share,"Financing * Source of financing: US$33.9 million government guarantee from the World Bank; US$3.4 billion in debt from Japan Bank for International Cooperation (JBIC), MUFG Bank, Mizuho Financial Group, Mitsubishi UFJ Trust and Banking, Norinchukin Bank, Shinsei Bank, Sumitomo Mitsui Trust Holdings, Sumitomo Mitsui Banking Corporation, DBS Bank and Oversea-Chinese Banking Corporation; US$879 milli",https://www.gem.wiki/Central_Java_Power_Project,gem_wiki
jbic,L100000102709,Central Java Power Project,ID,lender,finance,,debt_share,"Financing * Source of financing: US$33.9 million government guarantee from the World Bank; US$3.4 billion in debt from Japan Bank for International Cooperation (JBIC), MUFG Bank, Mizuho Financial Group, Mitsubishi UFJ Trust and Banking, Norinchukin Bank, Shinsei Bank, Sumitomo Mitsui Trust Holdings, Sumitomo Mitsui Banking Corporation, DBS Bank and Oversea-Chinese Banking Corporation; US$879 milli",https://www.gem.wiki/Central_Java_Power_Project,gem_wiki
jbic,L100000405372,Chonburi Ng Project power station,TH,lender,finance,,debt_share,"In November 2018, 12 international financial institutions provided the project promoters with loans totalling US$1.15 billion, including a US$227 million loan facility from the Japan Bank for International Cooperation and a US$228 million loan from the multilateral Asian Development Bank.",https://www.gem.wiki/Chonburi_Ng_Project_power_station,gem_wiki
jbic,L100000102814,Cirebon power station,ID,lender,finance,0.66,debt_share,The export credit agencies Japan Bank for International Cooperation (JBIC) and the Export–Import Bank of Korea (Kexim) will provide 66% of project debt (US$1.148 billion).,https://www.gem.wiki/Cirebon_power_station,gem_wiki
jbic,L100000100183,Cochrane power station,CL,lender,finance,,debt_share,"US$1,055 million in loans were provided by MUFG Bank, HSBC, Mizuho Financial Group, Sumitomo Mitsui Banking Corporation, Korea Finance Corporation, Japan Bank for International Cooperation, and BancoEstado.",https://www.gem.wiki/Cochrane_power_station,gem_wiki
jbic,L100000104345,Nghi Son coal power station,VN,lender,finance,,debt_share,"Financing for Nghi Sơn-2 In April 2018, the Japan Bank for International Cooperation (JBIC) agreed to provide US$560 million in loan funding for the 1200 MW Nghi Son 2 plant in Vietnam.",https://www.gem.wiki/Nghi_Son_coal_power_station,gem_wiki
jbic,L100000405276,PLTGU Jawa-1 power station,ID,lender,finance,,debt_share,"This comprised, from state-backed financial institutions, a US$604 million loan from Japan Bank for International Cooperation (JBIC), a US$185 million loan from the Asian Development Bank (ADB), and a US$120 million loan from Leading Asia's Private Infrastructure Fund (LEAP).",https://www.gem.wiki/PLTGU_Jawa-1_power_station,gem_wiki
jbic,L100000405416,Rayong Gulf PD power station,TH,lender,finance,,debt_share,The major financiers of the project are the Japan Bank for International Cooperation with a loan of US$208 million and the Asian Development Bank with a loan of US$180 million.,https://www.gem.wiki/Rayong_Gulf_PD_power_station,gem_wiki
jbic,L100000406357,Reliance Meghnaghat power station,BD,lender,finance,,debt_share,"In July 2020, Nikkei Asian Review reported that US$644 million in loans was being provided to the project by the Japan Bank for International Cooperation (JBIC), the Japan-led Asian Development Bank (ADB) and the three Japanese commercial megabanks Mizuho, Sumitomo Mitsui Banking Corporation and MUFG.",https://www.gem.wiki/Reliance_Meghnaghat_power_station,gem_wiki
jbic,L100000103053,Safi power station,MA,lender,finance,,debt_share,"US$2,103 million in loans were provided by Japan Bank for International Cooperation, Mizuho Financial Group, Sumitomo Mitsui Banking Corporation, Sumitomo Mitsui Financial Group, Societe Generale, Credit Agricole Group, BNP Paribas, MUFG Bank, Islamic Development Bank, Attijariwafa Bank, and Banque Centrale Populaire de Maroc.",https://www.gem.wiki/Safi_power_station,gem_wiki
jbic,L100000406884,Sirdaryo II power station,UZ,lender,finance,,debt_share,"On March 16, 2023 the Japan Bank for International Cooperation (JBIC) signed a loan agreement in project financing amounting up to approximately USD393 million with ENERSOK.",https://www.gem.wiki/Sirdaryo_II_power_station,gem_wiki
jbic,L100000102714,Tanjung Jati B power station,ID,lender,finance,,debt_share,Sumitomo renegotiated the development as a leasing scheme and construction resumed in September 2003 with financing from JBIC.,https://www.gem.wiki/Tanjung_Jati_B_power_station,gem_wiki
jbic,L100000104316,Van Phong power station,VN,lender,finance,,debt_share,"In April 2019, the Japanese Bank For International Cooperation (JBIC) agreed to loan up to approximately USD 1.199 million to Van Phong Power Company Limited (VAN PHONG) for Van Phong-1.",https://www.gem.wiki/Van_Phong_power_station,gem_wiki
jbic,L100000104310,Vung Ang power station,VN,lender,finance,,debt_share,"Debt financing from JBIC, KEXIM and Japanese commercial banks In October 2020, the board of KEPCO decided to invest US$189 million for the acquisition of a 40% stake in the proposed project alongside Mitsubishi’s Diamond Generating Asia and Chugoku Electric Power which have 40% and 20% stakes respectively.",https://www.gem.wiki/Vung_Ang_power_station,gem_wiki
jera,L100000103166,Pagbilao power station,PH,equity_owner,operation,,equity_share,"Ownership In July 2024, reporting stated that TeaM Energy's Build-Operate-Transfer (BOT) contracts at the Sual and Pagbilao power stations would expire in 2024 and 2025, respectively, as TeaM Energy partners Marubeni Corporation and JERA would move their sights toward renewable energy projects.",https://www.gem.wiki/Pagbilao_power_station,gem_wiki
jera,L100000406357,Reliance Meghnaghat power station,BD,equity_owner,operation,,equity_share,The state-owned Nippon Export and Investment Insurance is guaranteeing the private sector loans along with JERA's stake in the power plant.,https://www.gem.wiki/Reliance_Meghnaghat_power_station,gem_wiki
jpower,L100000102709,Central Java Power Project,ID,equity_owner,operation,0.8,equity_share,"According to a spokesman for J-POWER, 80 percent of land needed for the project had been acquired.",https://www.gem.wiki/Central_Java_Power_Project,gem_wiki
