table_pattern,column,value_pattern,tier,reason
grid_intensity,series,grid_intensity,A,Ember national generation-based carbon intensity as published by Our World in Data
emission_factors,basis,national,A,"the destination's own country-specific factor for the fuel, measured and published in its national inventory"
emission_factors,basis,national_adopted,B,"the destination's own instrument publishes the IPCC default as its factor: the number is the default, the provenance is national"
emission_factors,basis,ipcc_default,C,IPCC 2006 global default standing in for the country's value
projects_gem,capacity_mw,.*,A,Global Energy Monitor unit capacity as published
projects_gem,start_year,.*,A,Global Energy Monitor commissioning year as published
projects_gem,capacity_factor,.+,B,Global Energy Monitor estimate by technology and age
projects_gem,heat_rate_mj_per_kwh,.+,B,Global Energy Monitor heat-rate estimate converted from Btu/kWh
ti_power_by_unit,cf_source,default,C,technology default capacity factor (projects/method/technology_defaults.csv)
ti_power_by_unit,cf_source,country_implied,B,"the destination's own capacity factor for that fuel, implied by its published capacity and generation (utilisation/processed/capacity_factors_country.csv)"
capacity_factors_country,proxy_fuel,no,B,"implied by the country's own published capacity and generation for that fuel"
capacity_factors_country,proxy_fuel,yes,C,"the country's 'other fossil' series stands in for oil, which Ember does not publish separately"
ti_power_by_unit,heat_rate_source,default,C,technology default efficiency (projects/method/technology_defaults.csv)
ti_power_by_unit,lifetime_source,default,C,technology default lifetime (projects/method/technology_defaults.csv)
ti_power_by_unit,lifetime_source,retired_year,A,retirement year as published by the tracker
emission_targets_power,target_level,observed_trend,A,log-linear fit of the published grid series
emission_targets_power,target_level,power_prorata.*,B,committed target applied pro rata to grid intensity
emission_targets_power,target_level,economy_prorata.*,B,economy-wide target applied pro rata to grid intensity (boundary assumption)
project_roles,share_basis,.*,B,share read by hand from a project page or company release; C where the source_note says press report
gem_tracker_roles,role_tier2,.*,B,equity or operator role read from the tracker's owner/parent/operator string (third-party compilation of company disclosures)
gem_wiki_roles,role_tier2,.*,C,role read from a GEM wiki sentence by keyword; the tier-2 scope is *_unspecified because narrative text rarely states it
ti_power_by_role,origin,register,B,hand-transcribed role row with a source link
ti_power_by_role,origin,gem,B,equity share from the tracker's owner string
ti_power_by_role,origin,gem_wiki,C,role read from a GEM wiki sentence by keyword; unverified
ti_power_by_role,origin,company_ir,A,role or share read from a company disclosure or project page that is on disk and hash-recorded
company_ir_roles,role_tier2,.*,A,read from a page in raw/company_ir with the sentence quoted on the row
ti_power_by_role,role_tier2,.*_unspecified,C,the source names the tier-1 role but not which scope within it
technology_defaults_check,verdict,agrees,B,class efficiency confirmed against a heat rate read out of a document on disk (within 10 % relative)
technology_defaults_check,verdict,differs,C,class efficiency more than 10 % from the document's own heat rate for that class
technology_defaults_check,verdict,no_document_value,C,no document on file states a heat rate for this technology class
