fuel_type,technology_pattern,parameter,transcribed,document_value,document_unit,document_technology,document_derived,relative_gap,verdict,source_key,source_url,note
coal,ultra-?super|USC,efficiency_lhv,0.43,8800.0,Btu/kWh (HHV),Ultra Supercritical Coal (USC),0.4071,0.0562,agrees,eia_capital_cost_performance,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,EIA Table 1 states the nominal heat rate for a 650 MW ultra-supercritical unit; the ratio converts the higher heating value the US convention uses to the net (lower) heating value the IPCC emission factors are stated on
coal,^super|/super,efficiency_lhv,0.39,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
coal,^sub|subcritical,efficiency_lhv,0.35,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
coal,IGCC,efficiency_lhv,0.42,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
coal,CFB|fluidi[sz]ed,efficiency_lhv,0.36,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
coal,.*,efficiency_lhv,0.37,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
gas,combined|CCGT|ICCC|ISCC|AFC,efficiency_lhv,0.55,6600.0,Btu/kWh (HHV),Natural Gas Combined Cycle (NGCC),0.5728,-0.0398,agrees,eia_capital_cost_performance,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,"EIA Table 1, 702 MW combined cycle; the gas HHV/LHV ratio is the IPCC 2006 convention for natural gas"
gas,gas turbine|open|OCGT|simple|peaker,efficiency_lhv,0.36,10000.0,Btu/kWh (HHV),Combustion Turbine (CT),0.3781,-0.0478,agrees,eia_capital_cost_performance,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,"EIA Table 1, 100 MW combustion turbine"
gas,internal combustion|engine,efficiency_lhv,0.42,8500.0,Btu/kWh (HHV),Reciprocating Internal Combustion Engine (RICE),0.4448,-0.0557,agrees,eia_capital_cost_performance,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,"EIA Table 1, 85 MW reciprocating engine"
gas,steam,efficiency_lhv,0.38,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
gas,.*,efficiency_lhv,0.5,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
oil,combined|CCGT,efficiency_lhv,0.5,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
oil,internal combustion|engine,efficiency_lhv,0.4,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
oil,.*,efficiency_lhv,0.36,,,,,,no_document_value,,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
nuclear,.*,efficiency_lhv,,,,,,,no_document_value,,https://www.iea.org/reports/nuclear-power-and-secure-energy-transitions,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
hydro,.*,efficiency_lhv,,,,,,,no_document_value,,https://www.irena.org/publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
wind,.*,efficiency_lhv,,,,,,,no_document_value,,https://www.irena.org/publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
solar,.*,efficiency_lhv,,,,,,,no_document_value,,https://www.irena.org/publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
geothermal,.*,efficiency_lhv,,,,,,,no_document_value,,https://www.irena.org/publications/2024/Sep/Renewable-Power-Generation-Costs-in-2023,no heat rate for this technology class in the documents on file; the transcription stands on its own citation
bioenergy,.*,efficiency_lhv,0.268,13500.0,Btu/kWh (HHV),Biomass (BBFB),0.2679,0.0003,agrees,eia_capital_cost_performance,https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capcost_assumption.pdf,"EIA Table 1, 50 MW bubbling fluidised-bed biomass unit; the wood HHV/LHV ratio"
